"","Longitude","Latitude"
"11",199.6275267,-52.33416392
"12",199.6252455,-52.33735817
"13",199.6257563,-52.33549797
"14",199.6281975,-52.33313563
"15",199.6283484,-52.33308186
"16",199.6275629,-52.33389931
"17",199.6275138,-52.33431672
"22",199.4434331,-52.63585823
"23",199.4441006,-52.6356488
"24",199.4443019,-52.635575
"25",199.4449252,-52.6350339
"26",199.4463416,-52.63440103
"27",199.4473134,-52.63258978
"28",199.4476032,-52.63033968
"29",199.4473418,-52.62982014
"30",199.4321241,-52.66475391
"31",199.431891,-52.66451974
"32",199.4322799,-52.6643857
"33",199.4321194,-52.66433666
"38",199.7710037,-52.26693605
"39",199.7724062,-52.26555927
"40",199.7738058,-52.26321137
"41",199.7746517,-52.2620433
"42",199.7791527,-52.24972395
"43",199.778127,-52.24892845
"44",199.7776693,-52.24866229
"45",199.7770203,-52.24808637
"46",199.629201,-51.93427876
"47",199.6326613,-51.94131632
"48",199.6362239,-51.94884098
"49",199.6369079,-51.9546729
"50",199.5489014,-52.04675509
"51",199.5487621,-52.04624302
"52",199.5541384,-52.06091375
"53",199.4877328,-52.08379378
"54",199.486351,-52.08310026
"55",199.4859276,-52.08326431
"61",199.6098304,-52.25478201
"62",199.6094256,-52.254886
"63",199.6085324,-52.25439282
"64",199.6076546,-52.2543189
"65",199.6242081,-52.22721788
"66",199.6252981,-52.22712468
"67",199.6235914,-52.22732405
"68",199.6227272,-52.22685691
"69",199.6349293,-52.21802215
"70",199.6342212,-52.21796031
"71",199.6334708,-52.21813002
"72",199.6320161,-52.21810847
"73",199.6303415,-52.21825659
"74",199.6291767,-52.21827098
"75",199.6268262,-52.21844303
"76",199.6253722,-52.21828852
"77",199.5136469,-52.09325848
"78",199.5129854,-52.09237348
"79",199.5128125,-52.09166569
"80",199.5130505,-52.09089152
"81",199.5125622,-52.09004887
"82",199.5116307,-52.08916496
"83",199.5109191,-52.08861335
"84",199.5109965,-52.08860333
"85",199.5107321,-52.08713074
"86",199.5102624,-52.08645637
"87",199.5319668,-52.12715057
"88",199.5304274,-52.12798777
"89",199.530504,-52.12834063
"90",199.5297872,-52.12765045
"91",199.5274119,-52.12731113
"92",199.5269708,-52.12713609
"93",199.526421,-52.12728093
"94",199.5256483,-52.12676658
"95",199.5262595,-52.19476336
"96",199.5254912,-52.19514639
"97",199.5245649,-52.19631055
"98",199.5226545,-52.19694068
"99",199.5216551,-52.19756619
"100",199.5208487,-52.19777126
"101",199.5191764,-52.19764586
"102",199.5781548,-52.189174
"103",199.577664,-52.18954949
"104",199.5777833,-52.1894426
"105",199.5763147,-52.18994414
"106",199.5798282,-52.18970195
"107",199.5798263,-52.19036738
"108",199.5801367,-52.19076832
"109",199.5801424,-52.19138129
"110",199.5805715,-52.18985056
"111",199.5809452,-52.18980216
"112",199.5817982,-52.19006494
"113",199.5823092,-52.18973545
"114",199.6601054,-52.2948738
"115",199.6606614,-52.29496956
"116",199.6610945,-52.29526829
"117",199.6619265,-52.29554119
"118",199.6625007,-52.29581729
"119",199.6631601,-52.29588006
"120",199.6637253,-52.29636749
