Crinia_sig,Lim_dumer,Lim_peron,Lim_tas,Para_has,Lit_ewing,Lit_verr,Lit_peron,Lit_rani,Area,Vertical_wall,Road_density,Longitude,Latitude
1,0,0,0,0,0,0,0,0,3.870111155,0,0.045334,90.52886886,5.285250392
0,0,0,0,0,1,0,0,0,3.326949994,1,0.115903,91.1524938,5.054414728
0,0,0,0,0,1,0,0,0,2.85672889,1,0.147034,91.15263498,5.05824238
0,0,0,0,0,1,0,0,0,1.62324929,1,0.124283,91.15608614,5.058571809
0,0,0,0,0,1,0,0,0,4.629684769,1,0.081655,91.15847058,5.055340266
0,0,0,0,0,0,0,0,0,0.698970004,1,0.107048,91.15302716,5.052406779
0,0,1,0,0,1,0,0,0,2.257678575,0,0.1214,91.16438462,5.048955617
0,0,1,0,0,0,0,0,0,1.531478917,0,0.131941,91.16505917,5.047496717
0,0,1,0,0,0,0,0,0,1.397940009,1,0.120928,91.16923193,5.044673039
0,0,0,0,0,1,0,0,0,1.041392685,1,0.131941,91.16949861,5.040578706
0,0,1,0,0,0,0,0,0,2.089905111,1,0.1264,91.16987511,5.041394435
0,0,1,0,0,0,0,0,0,1.361727836,1,0.1214,91.17086339,5.041284626
0,0,0,0,0,0,0,0,0,0.301029996,1,0.132417,91.15847058,5.110025494
0,0,0,0,0,0,0,0,0,0.698970004,1,0.132417,91.1583294,5.11145302
0,0,0,0,0,0,0,0,0,3.750816843,1,0.133624,91.15792154,5.11215894
0,0,0,0,0,0,0,0,0,2.399673721,0,0.150862,91.15961574,5.112206001
0,0,0,0,0,0,0,0,0,1.986771734,1,0.159969,91.15975693,5.111296149
0,0,0,0,0,1,0,0,0,3.044931546,1,0.201872,91.15985105,5.111013781
0,0,0,0,0,1,0,0,0,3.377488383,1,0.170021,91.16043147,5.11134321
0,0,0,0,0,1,0,0,0,1.591064607,1,0.1535,91.16043147,5.111390272
0,0,0,0,0,0,0,0,0,2.330413773,1,0.166669,91.08502359,5.11881027
0,0,0,0,0,0,0,0,0,1.447158031,1,0.2445,91.08764333,5.122653609
1,1,1,1,1,1,1,0,0,3.103461622,0,0,91.09407504,5.148647132
1,1,1,0,1,1,1,0,0,2.699837726,0,0.005507,91.09147098,5.156271062
1,1,1,1,0,1,1,0,0,3.832955751,0,0.02038,91.19798639,5.038194267
1,0,1,0,0,1,1,0,0,2.687528961,0,0.028972,91.19856681,5.041739551
1,0,1,1,0,0,0,0,0,2.769377326,0,0,91.20024533,5.042367035
1,1,1,1,1,1,1,0,0,2.707570176,0,0,91.19924135,5.040359087
1,1,0,1,1,1,1,0,0,2.482873584,0,0,91.19561763,5.036515747
1,0,1,1,0,1,1,0,0,3.671635597,0,0,90.64583187,5.466765816
1,0,1,1,0,1,1,0,0,4.017283822,0,0,90.64890654,5.467628607
1,1,1,1,1,1,1,1,0,3.409595019,0,0,90.64973796,5.463267593
1,1,0,0,1,1,1,0,0,3.1752218,0,0.007662,90.64769863,5.460208609
1,1,1,1,0,1,1,0,0,3.679246145,0,0,90.64009039,5.459377193
1,1,1,1,1,1,0,0,0,2.598790507,0,0,90.63896092,5.455737786
1,1,1,1,1,1,1,0,0,2.298853076,0,0,90.63125855,5.462122435
1,1,1,1,1,1,0,0,0,4.100852827,0,0,90.62507784,5.461181209
1,0,0,0,0,1,0,0,0,3.137354111,0,0.032807,90.62418367,5.469479685
1,0,0,0,0,0,0,0,0,2.928395852,0,0.055076,90.62363462,5.471832749
1,0,1,1,1,1,1,0,0,3.122543524,0,0.079983,90.64575343,5.465746155
1,0,1,0,1,0,0,0,0,2.338456494,0,0.007662,90.62443467,5.47464074
1,0,0,1,1,0,0,0,0,3.557386882,0,0.005507,90.63001927,5.470405223
1,0,0,0,1,1,1,0,0,3.293583513,0,0,90.62893686,5.467267804
1,1,0,1,1,1,0,0,0,2.440909082,0,0,90.63273314,5.467628607
1,0,0,0,0,1,0,0,0,3.515211304,0,0.004431,90.63993352,5.479425305
1,0,1,0,1,1,0,0,0,3.592287816,0,0,90.64630248,5.481056764
0,0,0,0,0,0,0,0,0,1.716003344,0,0.021548,90.64592599,5.486045261
0,0,0,0,0,1,0,0,0,2.181843588,1,0.146072,90.64630248,5.465950087
0,0,0,0,0,1,0,0,0,2.95568775,1,0.113269,90.64757314,5.466185394
0,0,0,0,0,0,0,0,0,1.462397998,1,0.113269,90.64669466,5.468303152
0,0,0,0,0,1,0,0,0,2.225309282,1,0.134821,90.64851436,5.470342475
0,0,0,0,0,1,0,0,0,2.103803721,0,0.112552,90.64462396,5.464993174
0,0,0,0,0,1,0,0,0,2.344392274,1,0.119972,90.6415336,5.466012836
0,0,0,0,0,1,0,0,0,1.462397998,1,0.119972,90.64730646,5.461243957
0,0,0,0,0,0,0,0,0,1.414973348,1,0.119972,91.19089582,5.053598998
0,0,0,0,0,0,0,0,0,1.698970004,0,0.119972,91.18791527,5.05245384
1,0,0,0,0,1,0,0,0,2.911157609,0,0.145593,91.18837019,5.052516589
0,0,0,0,0,1,0,0,0,3.324693914,1,0.142728,91.18902905,5.056485425
1,0,1,1,0,1,0,0,0,4.412913926,0,0.076141,91.18609557,5.052438153
1,0,1,1,0,0,0,0,0,4.087745935,0,0.061179,91.18449548,5.052406779
0,0,1,0,0,0,0,0,0,2.515873844,1,0.069679,91.18353857,5.052155785
0,0,0,0,0,1,0,0,0,2.155336037,1,0.099138,91.18405624,5.050477266
0,0,0,0,0,1,0,0,0,1.886490725,1,0.117338,91.18479354,5.050587075
0,0,0,0,0,1,0,0,0,3.100715087,1,0.124397,91.18490335,5.047088852
0,0,0,0,0,1,0,0,0,2.797959644,1,0.151103,91.26148776,5.009628059
1,0,1,1,0,0,0,0,1,4.708454894,0,0.101045,90.96588007,5.196226104
0,0,0,1,0,0,0,0,0,3.508260306,0,0.103683,90.96631931,5.197700691
1,0,0,0,0,0,0,0,0,3.678062905,0,0.109679,90.96799783,5.198485046
1,0,1,0,0,1,1,0,0,3.363423933,0,0.101297,91.11181715,5.129336313
1,0,1,0,0,1,1,1,0,4.398061594,0,0.168341,91.13920683,4.905763776
1,1,0,1,0,0,0,0,0,4.909764569,0,0.015807,91.14075985,4.907865847
1,0,0,1,0,0,0,0,0,4.286209386,0,0.011266,90.83539478,5.500257773
1,0,0,1,0,0,0,0,0,4.529212126,0,0.026552,90.74329582,5.736662358
1,0,0,1,0,0,0,0,0,2.240549248,0,0.019159,90.75062169,5.734905403
1,0,0,1,0,0,0,0,0,3.812512284,0,0.019159,90.995262,4.772156752
0,0,0,0,0,0,0,0,0,3.047274867,1,0.142483,90.9939286,4.777992353
0,0,0,0,0,0,0,0,0,4.174205227,0,0.165952,91.0005015,4.770305674
0,0,0,0,0,1,0,0,0,2.494154594,1,0.149662,90.99849355,4.779278695
0,0,0,0,0,1,0,0,0,3.177247836,1,0.132276,90.99861904,4.781239583
0,0,0,0,0,1,0,0,0,3.314499228,1,0.142162,91.24543986,5.025268097
0,1,1,0,0,1,0,0,0,4.097465554,0,0.116831,91.2738492,4.973077118
1,0,0,0,0,0,0,0,0,2.788875116,0,0.11949,91.19334301,5.407970569
0,0,0,0,0,1,0,0,0,2.82672252,0,0.136969,91.22424659,5.003400281
0,0,0,0,0,1,0,0,0,3.750662646,1,0.1422,91.22252101,5.019620742
1,1,1,0,0,1,1,0,0,3.003891166,0,0.113266,90.56680026,5.309471273
0,0,0,0,0,0,0,0,1,3.913442955,0,0.121883,90.56466682,5.312153767
0,0,0,0,0,0,0,0,0,1.204119983,1,0.170497,91.16885544,5.241263766
0,0,0,0,0,1,0,0,0,3.087426457,1,0.165224,91.042088,5.132787475
0,0,0,0,0,0,0,0,0,0.477121255,1,0.12979,91.21459902,5.02379351
0,0,0,0,0,0,0,0,0,1.477121255,0,0.185103,91.2100027,5.022162052
0,0,0,0,0,0,0,0,0,1.041392685,1,0.185103,91.20962621,5.022695413
0,0,0,0,0,0,0,0,0,0.903089987,1,0.185103,91.20975171,5.022695413
0,0,0,0,0,1,0,0,0,1.113943352,0,0.12979,91.21431666,5.023730762
0,0,0,0,0,0,0,0,0,0.77815125,1,0.12979,91.21376761,5.023322897
0,0,0,0,0,0,0,0,0,0.84509804,1,0.158041,91.21381467,5.023181713
0,0,0,0,0,0,0,0,0,0.77815125,0,0.148945,91.21141454,5.024295497
0,0,0,0,0,0,0,0,0,2.155336037,1,0.148945,91.21052038,5.025299471
0,0,0,0,0,0,0,0,0,1.255272505,1,0.168107,91.21357936,5.028107462
0,0,0,0,0,0,0,0,0,1.176091259,1,0.168107,91.21357936,5.02828002
0,0,0,0,0,0,0,0,0,1.462397998,0,0.168107,91.21386173,5.029315369
0,0,0,1,0,0,0,0,0,4.690869158,0,0.062497,91.15313697,4.953844735
0,0,0,1,0,0,0,0,0,3.599227863,0,0.052683,91.15056429,4.951930909
0,0,1,0,0,1,0,0,0,2.318063335,0,0.120207,91.17764022,5.431046292
0,1,0,0,0,0,0,0,0,3.671543085,0,0.165824,91.30654111,4.955162451
