"","Longitude","Latitude"
"1",90.52886886,5.285250392
"30",90.64583187,5.466765816
"31",90.64890654,5.467628607
"32",90.64973796,5.463267593
"33",90.64769863,5.460208609
"34",90.64009039,5.459377193
"35",90.63896092,5.455737786
"36",90.63125855,5.462122435
"37",90.62507784,5.461181209
"38",90.62418367,5.469479685
"39",90.62363462,5.471832749
"40",90.64575343,5.465746155
"41",90.62443467,5.47464074
"42",90.63001927,5.470405223
"43",90.62893686,5.467267804
"44",90.63273314,5.467628607
"45",90.63993352,5.479425305
"46",90.64630248,5.481056764
"47",90.64592599,5.486045261
"48",90.64630248,5.465950087
"49",90.64757314,5.466185394
"50",90.64669466,5.468303152
"51",90.64851436,5.470342475
"52",90.64462396,5.464993174
"53",90.6415336,5.466012836
"54",90.64730646,5.461243957
"72",90.83539478,5.500257773
"73",90.74329582,5.736662358
"74",90.75062169,5.734905403
"85",90.56680026,5.309471273
"86",90.56466682,5.312153767
