"","Crinia_sig","Lim_dumer","Lim_peron","Lim_tas","Para_has","Lit_ewing","Lit_verr","Lit_peron","Lit_rani"
"1",1,0,0,0,0,0,0,0,0
"30",1,0,1,1,0,1,1,0,0
"31",1,0,1,1,0,1,1,0,0
"32",1,1,1,1,1,1,1,1,0
"33",1,1,0,0,1,1,1,0,0
"34",1,1,1,1,0,1,1,0,0
"35",1,1,1,1,1,1,0,0,0
"36",1,1,1,1,1,1,1,0,0
"37",1,1,1,1,1,1,0,0,0
"38",1,0,0,0,0,1,0,0,0
"39",1,0,0,0,0,0,0,0,0
"40",1,0,1,1,1,1,1,0,0
"41",1,0,1,0,1,0,0,0,0
"42",1,0,0,1,1,0,0,0,0
"43",1,0,0,0,1,1,1,0,0
"44",1,1,0,1,1,1,0,0,0
"45",1,0,0,0,0,1,0,0,0
"46",1,0,1,0,1,1,0,0,0
"47",0,0,0,0,0,0,0,0,0
"48",0,0,0,0,0,1,0,0,0
"49",0,0,0,0,0,1,0,0,0
"50",0,0,0,0,0,0,0,0,0
"51",0,0,0,0,0,1,0,0,0
"52",0,0,0,0,0,1,0,0,0
"53",0,0,0,0,0,1,0,0,0
"54",0,0,0,0,0,1,0,0,0
"72",1,0,0,1,0,0,0,0,0
"73",1,0,0,1,0,0,0,0,0
"74",1,0,0,1,0,0,0,0,0
"85",1,1,1,0,0,1,1,0,0
"86",0,0,0,0,0,0,0,0,1
